date,amount,category,description
20-1-2025,125.65,Income,Salary
25-04-2025,125.0,Income,side gig
25-04-2025,145.0,Income,cloth
25-04-2025,3000.0,Income,Fees
05-02-2025,200.0,Income,freelance
06-02-2025,80.0,Expense,groceries
07-02-2025,150.0,Expense,utilities
08-02-2025,1000.0,Income,salary
09-02-2025,50.0,Expense,coffee
10-02-2025,120.0,Expense,transport
11-02-2025,300.0,Income,bonus
13-02-2025,90.0,Expense,entertainment
14-02-2025,110.0,Expense,shopping
15-02-2025,200.0,Income,cashback
16-02-2025,60.0,Expense,subscriptions
17-02-2025,75.0,Expense,restaurant
18-02-2025,500.0,Income,project work
19-02-2025,40.0,Expense,snacks
20-02-2025,220.0,Expense,rent

01-03-2025,3000.0,Income,salary
02-03-2025,130.0,Expense,groceries
03-03-2025,95.0,Expense,gas
04-03-2025,500.0,Income,consulting
05-03-2025,45.0,Expense,coffee
06-03-2025,160.0,Expense,clothing
07-03-2025,100.0,Income,cashback
08-03-2025,70.0,Expense,subscriptions
09-03-2025,90.0,Expense,food delivery
10-03-2025,400.0,Income,freelance
12-03-2025,55.0,Expense,transport
15-03-2025,80.0,Expense,restaurant
18-03-2025,120.0,Income,survey reward
20-03-2025,60.0,Expense,entertainment
25-03-2025,110.0,Expense,utilities

01-04-2025,3200.0,Income,salary
02-04-2025,100.0,Expense,groceries
03-04-2025,75.0,Expense,coffee
04-04-2025,250.0,Income,side hustle
05-04-2025,180.0,Expense,shopping
06-04-2025,90.0,Expense,transport
07-04-2025,600.0,Income,freelance
08-04-2025,45.0,Expense,subscriptions
10-04-2025,50.0,Expense,snacks
12-04-2025,150.0,Expense,gadgets
15-04-2025,125.0,Income,bonus
18-04-2025,70.0,Expense,restaurant
20-04-2025,300.0,Income,freelance
22-04-2025,100.0,Expense,clothing
24-04-2025,90.0,Expense,utilities
25-04-2025,400.0,Income,project work
